Fonte de Recursos;Despesa;Liquidado
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;31900119 - ATRASADOS-OUTROS PODERES/MINIST.PUBLICO;79760504.67
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;31900124 - COMPLEMENTACAO DE APOSENTADORIA;1850834374.26
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;31900125 - COMPLEMENTACAO DE APOSENTADORIA - 13¦SALARIO;124536202.87
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;31900325 - COMPLEMENTACAO DE PENSAO;10948297
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;31900326 - COMPLEMENTACAO DE PENSAO - 13¦ SALARIO;521632.3
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;31900327 - ATRASADOS-OUTROS PODERES E MINISTERIO PUBLIC;29687439.37
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;31900701 - CONTRIBUICAO PATRONAL;85701614.8
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;31900801 - SALARIO FAMILIA - CIVIL;1911133.78
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;31900803 - SALARIO FAMILIA-INATIVOS DO EXECUTIVO;20503.36
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;31900843 - AUXILIO-RECLUSAO (LC 1.012/07);2035758.6
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;31901111 - PESSOAL CIVIL PAGO PELO DDPE;24250904009.59
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;31901112 - PESSOAL CIVIL PAGO PELA UNIDADE;8308253867.35
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;31901128 - PESSOAL CIVIL PAGO PELO DDPE-13 SALARIO;1950291607.1
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;31901129 - PESSOAL CIVIL PAGO PELA UNIDADE-13 SALARIO;730955200.08
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;31901130 - PESSOAL CIVIL PAGO PELO DDPE - 1/3 FERIAS;458919705.32
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;31901131 - PESSOAL CIVIL PAGO PELA UNIDADE-1/3 FERIAS;289319372.9
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;31901133 - VENCITOS.ATRASADOS-OUTR.PODERES E MINIST.PUB;224938928.41
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;31901136 - ABONO DE PERMANENCIA;596465744
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;31901137 - LICENCA PREMIO - PESSOAL CIVIL;198524686.15
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;31901201 - VENCIM.E VANTAG.FIXAS-PESSOAL MILITAR;5627183235.05
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;31901209 - PESSOAL MILITAR-13 SALARIO;415566414.65
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;31901210 - PESSOAL MILITAR-1/3 FERIAS;155487592.1
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;31901211 - ABONO DE PERMANENCIA;36562520.37
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;31901212 - LICENCA PREMIO - PESSOAL MILITAR;69645973.3
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;31901312 - OUTRAS CONTRIBUICOES DE PREV.SOCIAL;398021884.97
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;31901313 - FUNDO DE GARANTIA POR TEMPO DE SERVICO;451189769.45
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;31901320 - OUTRAS CONTRIB.PREV.SOCIAL-13 SALARIO;33739322.18
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;31901321 - FGTS-13 SALARIO;11948435.68
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;31901322 - PARCELAM.DE DEBITOS JUNTO A PREV.SOCIAL;194611317.99
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;31901323 - PREVIDENCIA SOCIAL/PESSOAL CLT;1193470771.92
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;31901324 - PREVIDENCIA SOCIAL/PESSOAL COMISSIONADO;73652050.2
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;31901327 - ENC.PATRO.POR DEMISSAO DE SERVIDOR/EMPREGADO;126809.8
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;31901611 - VERBA HONORARIA;169310299.35
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;31901612 - VERBA HONORARIA-13 SALARIO;499023.13
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;31901613 - HORA EXTRA;70938825.07
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;31901616 - DESPESAS EVENTUAIS DE PESSOAL CIVIL;14101579.29
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;31909208 - DESP.DE EXERC.ANTERIORES- PESSOAL REQUISITAD;884643.35
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;31909226 - VENC. E VANTAGENS FIXAS DE EXERC. ANTERIORES;874463444.64
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;31909227 - INATIVOS DE EXERCÝCIOS ANTERIORES;38249168.95
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;31909228 - PENSIONISTAS DE EXERCICIOS ANTERIORES;92275.91
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;31909229 - ENCARGOS SOCIAIS DE EXERCICIOS ANTERIORES;9251052.68
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;31909412 - INDENIZ.POR DEMISSAO DE SERVID.OU EMPREG.;5209164.95
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;31909413 - DESP.COM INCENTIVO A DEMISSAO VOLUNTARIA;8126920.82
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;31909416 - OUTRAS INDENIZACOES DE PESSOAL;815554.59
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;31909434 - REEMB.FERIAS-OUTRO PODER E MIN.PUBL.-ATIVOS;179185129.36
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;31909435 - REMB.FERIAS-OUTRO PODER E MIN.PUBLI-INATIVOS;7546621.21
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;31909601 - RESSARC. DESP. PESS.REQUISITADO DE EMPRESAS;130383682.77
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;31909602 - RESSARC.DESP.PESS.REQUISITADO-OUTROS PODERES;61584.81
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;31909603 - RESSARC. DESP.PESS.REQUISITADO-OUTRAS ESFERA;2393024.09
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;31910701 - CONTRIBUICAO PATRONAL;4899509
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;31910843 - AUXÝLIO-RECLUSÒO (LC 1.012/07);100
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;31911113 - VENCIMENTOS;812418674.11
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;31911301 - CONTRIB PATRONAL-SAO PAULO PREVIDENCIA-SPPRE;6968315732.98
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;31911302 - CONTRIB ESTADO P/COBERTURA INSUF FIN-SPPREV;21706490260.05
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;31911305 - OBRIGACOES PATRONAIS;193632144.59
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;31911617 - OUTRAS DESPESAS VARIAVEIS-PESSOAL CIVIL;2516126
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;31919224 - DESPESAS DE PESSOAL DE EXERCÝCIOS ANTERIORES;15337268.65
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;31919417 - INDENIZACOES DE PESSOAL;630359.87
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;32902110 - JUROS SOBRE A DIVIDA POR CONTRATO;11090925359.74
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;32902121 - JUROS S/A DIVIDA EXTERNA POR CONTRATO;753598844.34
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;32902201 - ENCARGOS COM INSTITUICOES FINANCEIRAS;132.16
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;32902210 - OUTROS ENCARGOS S/A DIVIDA POR CONTRATO;128189839.92
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;32902221 - ENCARGOS S/A DIVIDA EXTERNA POR CONTRATO;19552559.62
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;32912110 - JUROS SOBRE A DIVIDA POR CONTRATO;38778608.6
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;32912121 - JUROS S/A DIVIDA EXTERNA POR CONTRATO;15748535.75
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;32912210 - OUTROS ENCARGOS S/A DIVIDA POR CONTRATO;838184.31
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;32912221 - ENCARGOS S/A DIVIDA EXTERNA POR CONTRATO;432812.19
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33403001 - TRANSF.PARA MATERIAL DE CONSUMO;139672563.97
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33403347 - TRANSPORTE ESCOLAR;590066086.89
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33403901 - TRANSFERENCIAS PARA SERVICOS;233543382.98
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33413001 - TRANSFERENCIAS PARA MATERIAL DE CONSUMO;93020014.31
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33413901 - TRANSFERENCIAS PARA SERVICOS;21996246.03
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33413999 - OUTROS SERVICOS DE TERCEIROS;157151462.2
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33503977 - CONVENIOS C/ENTID.PRIVADAS S/FINS LUCRATIVOS;10977639.36
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33504104 - CONTR.A ENT.PRIVAD.S/FINS LUCRATIV EXERC.AN;627051.26
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33504106 - CONTR.A APM-PDDE PAULISTA-LEI 17.149/2019;426899500
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33504372 - LEITO-DIA EXERCICIO ANTERIOR;411000
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33504374 - CONV.C/UNIV.E FACULD.S/FINS LUCRATIVOS;249860206.69
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33504376 - SUBVENCOES A ENTIDADES DE SAUDE;555839279.93
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33504379 - CONVENIOS COM ORGANIZACOES SOCIAIS;277228323.77
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33504381 - TERMO DE COLABORACAO COM ORGS.SOCIEDADE CIVI;69417094.94
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33504382 - TERMO DE FOMENTO COM ORGS.DA SOCIEDADE CIVIL;4204440
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33504390 - OUTRAS SUBVENCOES SOCIAIS;1047348578.96
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33604504 - SUBVENCOES ECONOMICAS;2360000
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33674505 - CONTRAP.PECUN.P/PREST.SERV.EM CONC.PATROC.PP;64364546
